date,rank,source,target,attention
2019-03-26,5,Asset_5,Asset_28,0.031543
2019-03-27,1,Asset_20,Asset_28,0.031695
2019-03-27,2,Asset_15,Asset_28,0.031695
2019-03-27,3,Asset_21,Asset_28,0.031695
2019-03-27,4,Asset_27,Asset_28,0.031695
2019-03-27,5,Asset_30,Asset_28,0.031695
2019-03-28,1,Asset_31,Asset_28,0.031488
2019-03-28,2,Asset_4,Asset_28,0.031488
2019-03-28,3,Asset_14,Asset_28,0.031488
2019-03-28,4,Asset_1,Asset_28,0.031488
2019-03-28,5,Asset_5,Asset_28,0.031488
2019-03-29,1,Asset_3,Asset_1,0.031364
2019-03-29,2,Asset_6,Asset_1,0.031364
2019-03-29,3,Asset_15,Asset_1,0.031364
2019-03-29,4,Asset_24,Asset_1,0.031364
2019-03-29,5,Asset_30,Asset_1,0.031364
2019-04-01,1,Asset_9,Asset_29,0.031304
2019-04-01,2,Asset_20,Asset_29,0.031304
2019-04-01,3,Asset_23,Asset_29,0.031304
2019-04-01,4,Asset_24,Asset_29,0.031304
2019-04-01,5,Asset_26,Asset_29,0.031304
2019-04-02,1,Asset_10,Asset_1,0.031323
2019-04-02,2,Asset_24,Asset_1,0.031323
2019-04-02,3,Asset_19,Asset_1,0.031323
2019-04-02,4,Asset_0,Asset_1,0.031323
2019-04-02,5,Asset_17,Asset_1,0.031323
2019-04-03,1,Asset_3,Asset_1,0.031308
2019-04-03,2,Asset_5,Asset_1,0.031308
2019-04-03,3,Asset_18,Asset_1,0.031308
2019-04-03,4,Asset_20,Asset_1,0.031308
2019-04-03,5,Asset_22,Asset_1,0.031308
2019-04-04,1,Asset_18,Asset_0,0.031304
2019-04-04,2,Asset_10,Asset_0,0.031304
2019-04-04,3,Asset_6,Asset_0,0.031304
2019-04-04,4,Asset_9,Asset_0,0.031304
2019-04-04,5,Asset_11,Asset_0,0.031304
2019-04-05,1,Asset_11,Asset_3,0.031317
2019-04-05,2,Asset_26,Asset_3,0.031317
2019-04-05,3,Asset_28,Asset_3,0.031317
2019-04-05,4,Asset_0,Asset_3,0.031317
2019-04-05,5,Asset_5,Asset_3,0.031317
